unnamed0,unnamed1,unnamed2,unnamed3,unnamed4,unnamed5,unnamed6,unnamed7,MPU6050 is online...x-axis self test: acceleration trim within,y-axis self test: acceleration trim within,z-axis self test: acceleration trim within,x-axis self test: gyration trim within,y-axis self test: gyration trim within,z-axis self test: gyration trim within
6.62,-0.01,0,1,1.24,0.62,0.01,24.1,,,,,,
6.99,-0.01,0,1,1.25,0.9,0.2,24.13,,,,,,
7.65,-0.01,0,1,1.25,0.6,0.05,24.12,,,,,,
7.34,-0.01,0,1,1.25,0.81,0.31,24.13,,,,,,
7.14,-0.01,0,1,1.24,0.65,0.02,24.11,,,,,,
7.08,-0.01,0,1,1.24,0.88,0.25,24.14,,,,,,
7.05,-0.01,0,1,1.25,0.63,0.04,24.11,,,,,,
6.97,-0.01,0,1,1.26,0.75,0.35,24.12,,,,,,
6.78,-0.01,0,1,1.25,0.87,0.05,24.09,,,,,,
6.91,-0.02,0,1,1.26,1.07,0.32,24.12,,,,,,
6.85,-0.01,0,1,1.25,0.76,0.2,24.12,,,,,,
6.81,-0.01,0,1,1.25,0.68,0.54,24.11,,,,,,
6.82,-0.01,0,1,1.26,0.76,0.21,24.09,,,,,,
7.67,-0.01,0,1,1.25,0.85,-0.1,24.11,,,,,,
7.43,-0.01,0,1,1.24,0.68,0.19,24.11,,,,,,
7.16,-0.01,0,1,1.24,0.53,-0.12,24.13,,,,,,
7,-0.01,0,1,1.25,0.8,0.08,24.1,,,,,,
7.25,-0.01,0,1,1.25,0.54,0.29,24.1,,,,,,
7.11,-0.01,0,1,1.25,0.88,0.27,24.11,,,,,,
6.95,-0.01,0,1,1.26,0.55,0.31,24.13,,,,,,
6.74,-0.01,0,1,1.26,0.81,0.12,24.1,,,,,,
6.77,-0.01,0,1,1.26,0.53,-0.04,24.11,,,,,,
6.66,-0.01,0,1,1.27,0.78,0.18,24.13,,,,,,
7.36,-0.01,0,1,1.26,0.79,-0.16,24.09,,,,,,
7.43,-0.01,0,1,1.26,0.85,0.19,24.09,,,,,,
6.93,-0.02,0,1,1.26,0.96,-0.12,24.1,,,,,,
6.75,-0.01,0,1,1.26,0.78,0.15,24.11,,,,,,
6.88,-0.01,0,1,1.26,0.46,0.26,24.1,,,,,,
6.86,-0.01,0,1,1.25,0.75,0.12,24.09,,,,,,
6.77,-0.01,0,1,1.25,1.01,-0.09,24.1,,,,,,
6.66,-0.01,0,1,1.25,0.76,0.14,24.1,,,,,,
6.75,-0.01,0,1,1.25,0.5,-0.06,24.11,,,,,,
6.64,-0.01,0.01,1,1.26,0.69,0.21,24.1,,,,,,
6.78,-0.01,0,1,1.26,0.95,0,24.12,,,,,,
7.47,-0.01,0,1,1.26,0.69,0.22,24.08,,,,,,
7.38,-0.01,0,1,1.25,0.66,-0.11,24.11,,,,,,
7.17,-0.01,0,1,1.26,0.67,0.23,24.09,,,,,,
7.06,-0.01,0,1,1.25,0.81,-0.07,24.13,,,,,,
7,-0.01,0,1,1.26,0.58,0.18,24.12,,,,,,
7.01,-0.01,0,1,1.26,0.7,-0.12,24.1,,,,,,
6.88,-0.01,0,1,1.26,0.78,0.21,24.1,,,,,,
6.97,-0.01,0,1,1.26,0.64,-0.09,24.1,,,,,,
6.9,-0.01,0,1,1.26,0.87,0.15,24.09,,,,,,
6.73,-0.01,0,1,1.26,0.6,0.33,24.1,,,,,,
6.72,-0.01,0,1,1.26,0.49,0.02,24.11,,,,,,
7.47,-0.01,0,1,1.26,0.77,0.19,24.13,,,,,,
7.41,-0.01,0,1,1.25,0.51,0.02,24.1,,,,,,
7.2,-0.01,0,1,1.25,0.82,-0.08,24.1,,,,,,
6.97,-0.01,0,1,1.25,0.73,0.24,24.1,,,,,,
7.13,-0.01,0,1,1.25,0.78,-0.08,24.11,,,,,,
7.06,-0.01,0,1,1.25,0.73,0.25,24.1,,,,,,
7.02,-0.01,0,1,1.24,0.88,-0.05,24.12,,,,,,
6.85,-0.01,0,1,1.24,0.57,0.1,24.08,,,,,,
6.86,-0.01,0,1,1.24,0.78,-0.16,24.11,,,,,,
6.78,-0.01,0,1.01,1.24,0.72,0.18,24.12,,,,,,
6.92,-0.02,0,1,1.24,1,0,24.11,,,,,,
7.55,-0.01,0,1,1.24,0.66,0,24.11,,,,,,
7.4,-0.02,0,0.99,1.24,0.99,-0.12,24.09,,,,,,
7.24,-0.01,0,1,1.24,0.78,0.15,24.09,,,,,,
7.1,-0.02,0,1,1.24,0.93,-0.14,24.1,,,,,,
7.03,-0.01,0,1,1.25,0.67,0.06,24.09,,,,,,
7.17,-0.01,0,1,1.26,0.81,0.35,24.12,,,,,,
7.01,-0.01,0,1,1.25,0.82,0.02,24.12,,,,,,
7.01,-0.01,0,1,1.26,0.63,0.29,24.09,,,,,,
6.84,-0.01,0,1,1.25,0.74,-0.02,24.11,,,,,,
6.83,-0.02,0,1,1.26,0.93,0.26,24.11,,,,,,
7.26,-0.01,0.01,1,1.25,0.61,0.35,24.1,,,,,,
7.61,-0.01,0,1,1.25,0.74,0.05,24.08,,,,,,
7.17,-0.01,0,1,1.25,0.77,0.39,24.12,,,,,,
7.01,-0.01,0,1,1.25,0.76,0.05,24.11,,,,,,
6.91,-0.02,0,1,1.25,0.94,0.33,24.1,,,,,,
7.12,-0.01,0,1,1.25,0.75,0.06,24.11,,,,,,
6.96,-0.01,0,1,1.25,0.8,0.39,24.08,,,,,,
6.85,-0.01,0,1,1.25,0.62,0.11,24.09,,,,,,
6.78,-0.01,0,1,1.25,0.96,0.1,24.1,,,,,,
6.88,-0.01,0,1,1.25,0.63,0.14,24.09,,,,,,
6.77,-0.01,0,1,1.25,0.95,0.02,24.12,,,,,,
7.49,-0.02,0,1,1.25,0.62,0.06,24.1,,,,,,
7.55,-0.02,0,1,1.25,0.95,0.12,24.1,,,,,,
7.38,-0.02,0,1,1.25,0.68,-0.06,24.11,,,,,,
7.05,-0.01,0,1,1.26,0.7,0.26,24.11,,,,,,
7,-0.01,0,1,1.26,0.95,0.05,24.09,,,,,,
6.92,-0.01,0,1,1.26,0.62,0.1,24.09,,,,,,
6.91,-0.01,0,1,1.25,0.82,-0.17,24.08,,,,,,
6.86,-0.01,0,1,1.25,0.67,0.14,24.09,,,,,,
6.88,-0.01,0,1,1.25,0.97,0.28,24.09,,,,,,
6.64,-0.01,0,1,1.26,0.66,0.18,24.12,,,,,,
6.97,-0.01,0,1,1.26,0.73,-0.15,24.09,,,,,,
7.55,-0.01,0,1,1.27,0.85,0.16,24.09,,,,,,
7.45,-0.01,0,1,1.27,0.58,-0.01,24.08,,,,,,
7.32,-0.01,0,1,1.27,0.46,0.31,24.1,,,,,,
6.99,-0.01,0,1,1.26,0.74,0.11,24.09,,,,,,
6.95,-0.01,0,1,1.26,0.61,-0.2,24.09,,,,,,
6.88,-0.01,0,1,1.26,0.6,0.15,24.12,,,,,,
7.03,-0.02,0,1,1.26,0.91,0.25,24.12,,,,,,
7.13,-0.01,0,1,1.26,0.59,0.14,24.12,,,,,,
6.83,-0.02,0,1,1.27,0.92,0.07,24.08,,,,,,
6.87,-0.01,0,1,1.26,0.58,0.13,24.06,,,,,,
6.63,-0.01,0,1,1.26,0.93,0.11,24.1,,,,,,
7.51,-0.01,0,1,1.27,0.6,0.03,24.1,,,,,,
7.31,-0.01,0,1,1.27,0.74,0.35,24.09,,,,,,
